"theme_name","set_name","set_year","unique_part","parts"
"Construction","Telescopic Handler","2008","Not Unique","132"
"Construction","Telescopic Handler","2008","Unique","1"
"Construction","The Mine","2012","Not Unique","335"
"Construction","Tipper Lorry","1972","Not Unique","15"
"Construction","Tipper Truck","1971","Not Unique","29"
"Construction","Tipper Truck","1974","Not Unique","12"
"Construction","Tipper Truck","1976","Not Unique","12"
"Construction","Tipper Truck","1978","Not Unique","19"
"Construction","Tipper Truck","1989","Not Unique","29"
"Construction","Tipper Truck","2009","Not Unique","15"
"Construction","Tipper Truck","2012","Not Unique","92"
"Construction","Tipper Trucks and Loader","1973","Not Unique","30"
"Construction","Tractor","1978","Not Unique","23"
"Construction","Tractor","1988","Not Unique","20"
"Construction","Tractor","2009","Not Unique","54"
"Construction","Truck & Payloader","1977","Not Unique","30"
"Construction","Truck with Crane and Caterpillar Track","1969","Not Unique","42"
"Construction","Truck with Excavator","1973","Not Unique","50"
"Construction","Truck with Girders","1971","Not Unique","19"
"Construction","Wheel Loader","2007","Not Unique","69"
"Construction","Wheeled Front Shovel","2000","Not Unique","34"
"Construction","XXL Mobile Crane","2005","Not Unique","163"
"Construction","XXL Mobile Crane","2005","Unique","1"
"Control Lab","Control Lab Serial Interface & Adapter","1995","Unique","2"
"Cowboys","Bandit's Secret Hide-Out","1996","Not Unique","130"
"Cowboys","Bandit's Secret Hide-Out","1996","Unique","2"
"Cowboys","Bandit's Wheelgun","1997","Not Unique","18"
"Cowboys","Bandit's Wheelgun (Boxed)","1997","Not Unique","18"
"Cowboys","Covered Wagon","1996","Not Unique","37"
"Cowboys","Covered Wagon","1996","Unique","1"
"Cowboys","Fort Legoredo","1996","Not Unique","170"
"Cowboys","Fort Legoredo","1996","Unique","1"
"Cowboys","Fort Legoredo","2002","Not Unique","170"
"Cowboys","Fort Legoredo","2002","Unique","1"
"Cowboys","Frontier Patrol","1997","Not Unique","26"
"Cowboys","Gold City Junction","1996","Not Unique","164"
"Cowboys","Gold City Junction","1996","Unique","4"
"Cowboys","Sheriff's Lock-Up","1996","Not Unique","102"
"Cowboys","Sheriff's Lock-Up","2002","Not Unique","102"
"Cowboys","Sheriff's Lock-Up","2002","Unique","1"
"Cowboys","Sheriff's Showdown","1996","Not Unique","23"
"Cowboys","Showdown Canyon","1997","Not Unique","53"
"Creator","{Yellow Cab}","2012","Not Unique","25"
"Creator","4 x 4 Dynamo","2010","Not Unique","37"
"Creator","Advent Calendar 2002 Creator (Day  1) Squirrel","2002","Not Unique","7"
"Creator","Advent Calendar 2002 Creator (Day  2) Boy","2002","Not Unique","1"
"Creator","Advent Calendar 2002 Creator (Day  3) Fireplace","2002","Not Unique","5"
"Creator","Advent Calendar 2002 Creator (Day  4) Santa","2002","Not Unique","11"
"Creator","Advent Calendar 2002 Creator (Day  5) Car","2002","Not Unique","9"
"Creator","Advent Calendar 2002 Creator (Day  6) Penguin","2002","Not Unique","7"
"Creator","Advent Calendar 2002 Creator (Day  7) Girl","2002","Not Unique","1"
"Creator","Advent Calendar 2002 Creator (Day  8) Dog with hat","2002","Not Unique","12"
"Creator","Advent Calendar 2002 Creator (Day  9) Space Buggy","2002","Not Unique","14"
"Creator","Advent Calendar 2002 Creator (Day 10) Dinosaur","2002","Not Unique","5"
"Creator","Advent Calendar 2002 Creator (Day 11) Speedboat","2002","Not Unique","10"
"Creator","Advent Calendar 2002 Creator (Day 12) Reindeer","2002","Not Unique","9"
"Creator","Advent Calendar 2002 Creator (Day 13) Snowman","2002","Not Unique","10"
"Creator","Advent Calendar 2002 Creator (Day 14) Jet Ski","2002","Not Unique","10"
"Creator","Advent Calendar 2002 Creator (Day 15) Duck","2002","Not Unique","7"
"Creator","Advent Calendar 2002 Creator (Day 16) Police Boat","2002","Not Unique","10"
"Creator","Advent Calendar 2002 Creator (Day 17) Whale","2002","Not Unique","9"
"Creator","Advent Calendar 2002 Creator (Day 18) Space Shuttle","2002","Not Unique","12"
"Creator","Advent Calendar 2002 Creator (Day 19) Parrot","2002","Not Unique","6"
"Creator","Advent Calendar 2002 Creator (Day 20) Steamship","2002","Not Unique","8"
"Creator","Advent Calendar 2002 Creator (Day 21) Building","2002","Not Unique","11"
"Creator","Advent Calendar 2002 Creator (Day 22) Helicopter","2002","Not Unique","10"
"Creator","Advent Calendar 2002 Creator (Day 23) Tree","2002","Not Unique","8"
"Creator","Advent Calendar 2002 Creator (Day 24) Present","2002","Not Unique","4"
"Creator","Advent Calendar 2003 Creator (Day  1) Snowman","2003","Not Unique","13"
"Creator","Advent Calendar 2003 Creator (Day  2) Little Girl","2003","Not Unique","7"
"Creator","Advent Calendar 2003 Creator (Day  3) Penguin","2003","Not Unique","8"
"Creator","Advent Calendar 2003 Creator (Day  4) Sheep","2003","Not Unique","10"
"Creator","Advent Calendar 2003 Creator (Day  5) Little Boy","2003","Not Unique","8"
"Creator","Advent Calendar 2003 Creator (Day  6) Stocking","2003","Not Unique","5"
"Creator","Advent Calendar 2003 Creator (Day  7) Spaceship","2003","Not Unique","8"
"Creator","Advent Calendar 2003 Creator (Day  8) Parrot","2003","Not Unique","8"
"Creator","Advent Calendar 2003 Creator (Day  9) Airplane","2003","Not Unique","7"
"Creator","Advent Calendar 2003 Creator (Day 10) Sailboat","2003","Not Unique","13"
"Creator","Advent Calendar 2003 Creator (Day 11) Snowplow","2003","Not Unique","13"
"Creator","Advent Calendar 2003 Creator (Day 12) Snail","2003","Not Unique","7"
"Creator","Advent Calendar 2003 Creator (Day 13) Robot","2003","Not Unique","8"
"Creator","Advent Calendar 2003 Creator (Day 14) Heart","2003","Not Unique","7"
"Creator","Advent Calendar 2003 Creator (Day 15) Truck","2003","Not Unique","11"
"Creator","Advent Calendar 2003 Creator (Day 16) Reindeer","2003","Not Unique","10"
"Creator","Advent Calendar 2003 Creator (Day 17) Bird","2003","Not Unique","8"
"Creator","Advent Calendar 2003 Creator (Day 18) Present","2003","Not Unique","5"
"Creator","Advent Calendar 2003 Creator (Day 19) Fireplace","2003","Not Unique","9"
"Creator","Advent Calendar 2003 Creator (Day 20) Santa","2003","Not Unique","11"
"Creator","Advent Calendar 2003 Creator (Day 21) Robot","2003","Not Unique","11"
"Creator","Advent Calendar 2003 Creator (Day 22) Race Car","2003","Not Unique","7"
"Creator","Advent Calendar 2003 Creator (Day 23) Helicopter","2003","Not Unique","14"
"Creator","Advent Calendar 2003 Creator (Day 24) Tree","2003","Not Unique","10"
"Creator","Advent Calendar 2004 Creator (Day  2) Plane","2004","Not Unique","10"
"Creator","Advent Calendar 2004 Creator (Day  3) Parrot","2004","Not Unique","14"
"Creator","Advent Calendar 2004 Creator (Day  4) Robot","2004","Not Unique","16"
"Creator","Advent Calendar 2004 Creator (Day  5) Blue Present","2004","Not Unique","3"
"Creator","Advent Calendar 2004 Creator (Day  6) Ship","2004","Not Unique","16"
"Creator","Advent Calendar 2004 Creator (Day  8) Van","2004","Not Unique","9"
"Creator","Advent Calendar 2004 Creator (Day  9) Skiing Elf","2004","Not Unique","11"
"Creator","Advent Calendar 2004 Creator (Day 1) Elf Ornament","2004","Not Unique","11"
"Creator","Advent Calendar 2004 Creator (Day 10) Sledding Santa","2004","Not Unique","11"
"Creator","Advent Calendar 2004 Creator (Day 11) Goose","2004","Not Unique","11"
"Creator","Advent Calendar 2004 Creator (Day 12) Green Present","2004","Not Unique","3"
"Creator","Advent Calendar 2004 Creator (Day 13) Santa Ornament","2004","Not Unique","10"
"Creator","Advent Calendar 2004 Creator (Day 14) Helicopter","2004","Not Unique","12"
"Creator","Advent Calendar 2004 Creator (Day 15) Reindeer","2004","Not Unique","7"
"Creator","Advent Calendar 2004 Creator (Day 16) Elf Girl","2004","Not Unique","12"
"Creator","Advent Calendar 2004 Creator (Day 17) Speedboat","2004","Not Unique","17"
"Creator","Advent Calendar 2004 Creator (Day 18) Racing Car","2004","Not Unique","11"
"Creator","Advent Calendar 2004 Creator (Day 19) Snowman","2004","Not Unique","10"
"Creator","Advent Calendar 2004 Creator (Day 20) Leaf Ornament","2004","Not Unique","7"
"Creator","Advent Calendar 2004 Creator (Day 21) Santa","2004","Not Unique","13"
"Creator","Advent Calendar 2004 Creator (Day 22) Sailing Ship","2004","Not Unique","16"
"Creator","Advent Calendar 2004 Creator (Day 23) Tree","2004","Not Unique","9"
"Creator","Advent Calendar 2004 Creator (Day 24) Air Boat","2004","Not Unique","9"
"Creator","Advent Calendar 2004 Creator (Day 7) Angel Ornament","2004","Not Unique","12"
"Creator","Adventure Vehicles","2015","Not Unique","104"
"Creator","Aero Pod","2006","Not Unique","40"
"Creator","Air Blazer","2016","Not Unique","59"
"Creator","Airshow Aces","2016","Not Unique","123"
"Creator","Alligator","2010","Not Unique","31"
"Creator","Animals","2004","Not Unique","96"
"Creator","Apple","2007","Not Unique","7"
"Creator","Auto Pod","2006","Not Unique","30"
"Creator","Balloon Cart","2014","Not Unique","38"
"Creator","Banana","2007","Not Unique","6"
"Creator","Beachside Vacation","2017","Not Unique","120"
"Creator","Beachside Vacation","2017","Unique","1"
"Creator","Bee","2011","Not Unique","13"
"Creator","Bike Shop & Cafe","2014","Not Unique","245"
"Creator","Birthday Buddy","2016","Not Unique","47"
"Creator","Blue Express","2017","Not Unique","34"
"Creator","Blue Power Jet","2015","Not Unique","180"
"Creator","Blue Roadster","2012","Not Unique","69"
"Creator","Brickley","2011","Not Unique","62"
"Creator","BrickMaster","2007","Not Unique","38"
"Creator","Buildings","2004","Not Unique","148"
"Creator","Butterfly","2006","Not Unique","11"
"Creator","Cargo Chopper","2008","Not Unique","18"
"Creator","Carousel","2017","Not Unique","410"
"Creator","Carousel","2017","Unique","3"
"Creator","Changing Seasons","2015","Not Unique","159"
"Creator","Chef","2007","Not Unique","5"
"Creator","Chopper transporter","2016","Not Unique","66"
"Creator","Christmas Cat Ornament","2014","Not Unique","18"
"Creator","Christmas Snow Hut Ornament","2014","Not Unique","17"
"Creator","Christmas Tree","2013","Not Unique","17"
"Creator","Christmas Tree Ornaments, Build Your Own Holiday Ornaments","2009","Not Unique","30"
"Creator","Christmas Tree Stand","2013","Not Unique","60"
"Creator","Christmas Tree Truck","2013","Not Unique","68"
"Creator","Clown Fish","2011","Not Unique","28"
"Creator","Construction Hauler","2013","Not Unique","90"
"Creator","Construction Vehicles","2016","Not Unique","36"
"Creator","Cool Cruiser","2011","Not Unique","158"
"Creator","Corner Deli","2016","Not Unique","149"
"Creator","Creative Tower","2013","Not Unique","228"
"Creator","Creator Bulk","2003","Not Unique","45"
"Creator","Creator Community Builders","2004","Not Unique","368"
"Creator","Creator Community Builders","2004","Unique","1"
"Creator","Cute Kitten","2014","Not Unique","32"
"Creator","Decorating The Tree","2013","Not Unique","53"
"Creator","Desert Racers","2016","Not Unique","35"
"Creator","Designer Set","2005","Not Unique","19"
"Creator","Dino Pod","2006","Not Unique","32"
"Creator","Dinosaur","2006","Not Unique","19"
"Creator","Dinosaur","2008","Not Unique","39"
"Creator","Dinosaur Holiday Bauble","2013","Not Unique","18"
"Creator","Emerald Express","2014","Not Unique","78"
"Creator","Fairground Mixer","2014","Not Unique","499"
"Creator","Fast Car","2016","Not Unique","97"
"Creator","Ferrari F40","2015","Not Unique","281"
"Creator","Ferrari F40","2015","Unique","5"
"Creator","Ferris Wheel","2015","Not Unique","312"
"Creator","Ferris Wheel","2015","Unique","1"
"Creator","Fierce Flyer","2013","Not Unique","70"
"Creator","Fire Truck Holiday Bauble","2013","Not Unique","21"
"Creator","Forest Animals","2014","Not Unique","107"
"Creator","Fountain","2016","Not Unique","53"
"Creator","Frog","2006","Not Unique","18"
"Creator","Fun with Bricks","2012","Not Unique","145"
"Creator","Fun with Vehicles","2012","Not Unique","177"
"Creator","Furry Creatures","2014","Not Unique","106"
"Creator","Garbage Truck","2009","Not Unique","38"
"Creator","Geoffrey","2013","Not Unique","32"
"Creator","Grapes","2007","Not Unique","6"
"Creator","Green Cruiser","2016","Not Unique","54"
"Creator","Green Lizard","2009","Not Unique","13"
"Creator","Helicopter","2012","Not Unique","29"
"Creator","Helicopter","2016","Not Unique","29"
"Creator","Highway Cruiser","2014","Not Unique","67"
"Creator","Hillside House","2011","Not Unique","209"
"Creator","Hillside House","2011","Unique","1"
"Creator","Hot Dog Cart","2013","Not Unique","32"
"Creator","Ice Skating","2014","Not Unique","52"
"Creator","Jeep","2006","Not Unique","19"
"Creator","Lakeside Lodge","2016","Not Unique","122"
"Creator","LEGO Creative Chest","2013","Not Unique","184"
"Creator","Lego Reindeer Holiday Bauble","2013","Not Unique","15"
"Creator","Lego Tree Holiday Bauble","2013","Not Unique","19"
"Creator","LEGO XXL Box","2010","Not Unique","138"
"Creator","Lighthouse","2011","Not Unique","14"
"Creator","Lighthouse Island","2011","Not Unique","169"
"Creator","Lighthouse Point","2016","Not Unique","180"
"Creator","Little Eagle","2013","Not Unique","26"
"Creator","Little Helicopter","2013","Not Unique","28"
"Creator","London Bus","2016","Not Unique","41"
"Creator","Mighty Dinosaurs","2017","Not Unique","76"
"Creator","Mini Cooper","2014","Not Unique","250"
"Creator","Mini Cooper","2015","Not Unique","250"
"Creator","MINI Cooper Mini Model","2014","Not Unique","33"
"Creator","Mini Dumper","2010","Not Unique","33"
"Creator","Mini Fire Truck","2012","Not Unique","38"
"Creator","Mini Off-Roader","2009","Not Unique","32"
"Creator","Mini Skyfighter","2013","Not Unique","43"
"Creator","Mini Sopwith Camel","2012","Not Unique","34"
"Creator","Mini Speeder","2013","Not Unique","37"
"Creator","Mini Sports Car","2012","Not Unique","36"
"Creator","Mini Trains","2008","Not Unique","39"
"Creator","Mini Vehicles","2008","Not Unique","43"
"Creator","Mini VW Beetle","2017","Not Unique","52"
"Creator","Mini VW Beetle","2017","Unique","1"
"Creator","Mini VW T1 Camper Van","2013","Not Unique","34"
"Creator","Mini VW T1 Camper Van","2013","Unique","1"
"Creator","Modular Family Villa","2017","Not Unique","213"
"Creator","Modular Modern Home","2017","Not Unique","154"
"Creator","Modular Modern Home","2017","Unique","1"
"Creator","Modular Poolside Holiday","2017","Not Unique","135"
"Creator","Mountain Hut","2014","Not Unique","155"
"Creator","My First LEGO Fire Station","2013","Not Unique","52"
"Creator","My First LEGO Princess","2013","Not Unique","55"
"Creator","My First LEGO Set","2011","Not Unique","74"
"Creator","Ocean Explorer","2016","Not Unique","96"
"Creator","Orange","2007","Not Unique","6"
"Creator","Park Animals","2016","Not Unique","69"
"Creator","Park Street Townhouse","2017","Not Unique","250"
"Creator","Parrot","2016","Not Unique","30"
"Creator","Pear","2007","Not Unique","7"
"Creator","Police Building Set","2012","Not Unique","68"
"Creator","Police Building Set","2012","Unique","1"
"Creator","Power Digger","2014","Not Unique","36"
"Creator","Power Mech","2013","Not Unique","87"
"Creator","Propeller Adventures","2012","Not Unique","93"
"Creator","Propeller Plane","2016","Not Unique","101"
"Creator","Racer","2001","Not Unique","11"
"Creator","Red Racer","2017","Not Unique","37"
"Creator","Red Thunder","2014","Not Unique","47"
"Creator","Reindeer","2011","Not Unique","30"
"Creator","Road Construction Set","2008","Not Unique","106"
"Creator","Roaring Power","2014","Not Unique","114"
"Creator","Robo Explorer 1","2017","Not Unique","99"
"Creator","Robo Pod","2006","Not Unique","35"
"Creator","Safari Building Set","2012","Not Unique","78"
"Creator","Santa","2012","Not Unique","40"
"Creator","Santa's Sleigh","2013","Not Unique","63"
"Creator","Santa Holiday Bauble","2013","Not Unique","18"
"Creator","Santa, Tree, and Present","2003","Not Unique","24"
"Creator","Santa’s Workshop","2014","Not Unique","359"
"Creator","Santa’s Workshop","2014","Unique","3"
"Creator","Sceneries Set","2010","Not Unique","221"
"Creator","Sea Helicopter","2001","Not Unique","10"
"Creator","Seaplane Adventures","2017","Not Unique","127"
"Creator","Seaplane Adventures","2017","Unique","1"
"Creator","Shark","2006","Not Unique","15"
"Creator","Shark","2009","Not Unique","27"
"Creator","Ship","2001","Not Unique","10"
"Creator","Snowman","2014","Not Unique","29"
"Creator","Space Shuttle Explorer","2017","Not Unique","131"
"Creator","Speedboat","2006","Not Unique","18"
"Creator","Street Rebel","2012","Not Unique","88"
"Creator","Sunset Speeder","2014","Not Unique","59"
"Creator","Sunset Street Bike","2016","Not Unique","76"
"Creator","Super Racer","2013","Not Unique","59"
"Creator","Super Soarer","2012","Not Unique","67"
"Creator","Super Soarer","2016","Not Unique","56"
"Creator","T-Rex","2012","Not Unique","58"
"Creator","Thunder Wings","2013","Not Unique","107"
"Creator","Tow Truck","2009","Not Unique","47"
"Creator","Train Ornament","2014","Not Unique","14"
"Creator","Train Ornament","2014","Unique","1"
"Creator","Transport Plane","2014","Not Unique","31"
"Creator","Transport Truck","2011","Not Unique","107"
"Creator","Transportation","2004","Not Unique","112"
"Creator","Treehouse Adventures","2016","Not Unique","144"
"Creator","Truck","2011","Not Unique","29"
"Creator","Turbo Track Racer","2017","Not Unique","195"
"Creator","Turbo Track Racer","2017","Unique","1"
"Creator","Twin Prop","2012","Not Unique","30"
"Creator","Twin Spin Helicopter","2016","Not Unique","133"
"Creator","Twinblade Adventures","2014","Not Unique","86"
"Creator","Vacation Getaways","2016","Not Unique","278"
"Creator","Vacation Getaways","2016","Unique","1"
"Creator","Volkswagen Beetle","2016","Not Unique","293"
"Creator","Volkswagen Beetle","2016","Unique","2"
"Creator","Whale","2007","Not Unique","19"
"Creator","Year Of The Monkey","2016","Not Unique","57"
"Creator","Year Of The Snake","2013","Not Unique","85"
"Creator","Year Of The Snake","2013","Unique","1"
"Creator","Yellow Airplane","2009","Not Unique","23"
"Creator","Yellow Racers","2014","Not Unique","131"
"Creature","Fierce Creatures","2008","Not Unique","54"
"Creature","Fiery Legend","2009","Not Unique","135"
"Creature","Lion","2007","Not Unique","19"
"Creature","Mini Animals","2007","Not Unique","40"
"Creature","Monster Dino","2007","Not Unique","144"
"Creature","Monster Dino","2007","Unique","1"
"Creature","Mythical Creatures","2006","Not Unique","106"
"Creature","Panda","2013","Not Unique","31"
"Creature","Prehistoric Power","2006","Not Unique","91"
"Creature","Rainforest Animals","2015","Not Unique","77"
"Creature","Red Creatures","2015","Not Unique","60"
"Creature","Stegosaurus","2008","Not Unique","163"
"Creature","Tiger","2015","Not Unique","33"
"Creature","Turtle","2017","Not Unique","15"
"Creature","Year Of The Sheep","2015","Not Unique","41"
"Crusaders","Dungeon Hunters","1990","Not Unique","58"
"Crusaders","King's Catapult","1991","Not Unique","23"
"Crusaders","King's Mountain Fortress","1990","Not Unique","143"
"Crusaders","King's Mountain Fortress","1990","Unique","1"
"Crusaders","Treasure Cart","1992","Not Unique","21"
"Crusaders","Treasure Cart","1998","Not Unique","19"
"Crusaders","Treasure Chest","1992","Not Unique","19"
"Dark Forest","Bandit Ambush","1996","Not Unique","46"
"Dark Forest","Dark Forest Fortress","1996","Not Unique","193"
"Dark Forest","Dark Forest Fortress","1996","Unique","1"
"Dark Forest","Hemlock Stronghold","1996","Not Unique","125"
"Desert","Adventurer - Johnny Thunder","1998","Not Unique","14"
"Desert","Adventurers Aeroplane","1998","Not Unique","19"
"Desert","Adventurers Car","1998","Not Unique","31"
"Desert","Adventurers Car & Skeleton","1998","Not Unique","52"
"Desert","Adventurers Plane","1999","Not Unique","20"
"Desert","Adventurers Raft","1999","Not Unique","16"
"Desert","Adventurers Tomb","1998","Not Unique","56"
"Desert","Adventurers Value Pack (TRU Exclusive)","2001","Unique","1"
"Desert","Bi-Wing Baron","1998","Not Unique","43"
"Desert","Desert Expedition","1998","Not Unique","224"
"Desert","Desert Expedition","1998","Unique","1"
"Desert","Johnny Thunder","1999","Not Unique","13"
"Desert","King Pharaoh the Third","1998","Not Unique","15"
"Desert","Mummy's Tomb","1998","Not Unique","125"
"Desert","Mummy and Cart","1999","Not Unique","15"
"Desert","Oasis Ambush","1998","Not Unique","55"
"Desert","Oasis Ambush","1998","Unique","1"
"Desert","Pharaoh's Forbidden Ruins","1998","Not Unique","260"
"Desert","Pharaoh's Forbidden Ruins","1998","Unique","4"
"Desert","Plane of Hurrykain","1998","Not Unique","20"
"Desert","Raft of Johnse","1998","Not Unique","16"
"Desert","Scorpion Tracker","1998","Not Unique","27"
"Desert","Slyboot Car","1998","Not Unique","15"
"Desert","Sphinx Secret Surprise","1998","Not Unique","194"
"Desert","Sphinx Secret Surprise","1998","Unique","2"
"Desert","The Valley of the Kings","1998","Not Unique","99"
"Desert","Treasure Raiders set with Mummy Storage Container","1998","Not Unique","112"
"Desert","Treasure Raiders set with Mummy Storage Container","1998","Unique","1"
"Desert","Treasure Tomb, TRU exclusive","1998","Not Unique","95"
"Designer Sets","Air Blazers","2003","Not Unique","209"
"Designer Sets","Apatosaurus","2004","Not Unique","17"
"Designer Sets","Bird","2005","Not Unique","21"
"Designer Sets","Crab","2005","Not Unique","17"
"Designer Sets","Deep Sea Predators","2004","Not Unique","149"
"Designer Sets","Dinosaur","2004","Not Unique","21"
"Designer Sets","Elephant (Life cereal promotion)","2005","Not Unique","19"
"Designer Sets","Gear Grinders","2005","Not Unique","82"
"Designer Sets","Giraffe","2005","Not Unique","18"
"Designer Sets","Helicopter Promotional (Duracell)","2004","Not Unique","18"
"Designer Sets","High Flyers","2003","Not Unique","83"
"Designer Sets","Land Busters","2003","Not Unique","220"
"Designer Sets","Lion","2005","Not Unique","20"
"Designer Sets","Little Creations","2003","Not Unique","58"
"Designer Sets","Maximum Wheels","2003","Not Unique","140"
"Designer Sets","Micro Wheels","2003","Not Unique","88"
"Designer Sets","Mini Robots","2003","Not Unique","112"
"Designer Sets","Ocean Odyssey","2005","Not Unique","156"
"Designer Sets","Orange Fish","2003","Not Unique","27"
"Designer Sets","Orange Speedboat","2004","Not Unique","23"
"Designer Sets","Prehistoric Creatures","2004","Not Unique","168"
"Designer Sets","Pteranodon","2004","Not Unique","17"
"Designer Sets","Robo Platoon","2005","Not Unique","89"
"Designer Sets","Robobots","2003","Not Unique","152"
"Designer Sets","Robot Promotional (Duracell)","2004","Not Unique","17"
"Designer Sets","Robots","2003","Not Unique","16"
"Designer Sets","Robots - ANA Promotion","2003","Not Unique","16"
"Designer Sets","Scorpion","2005","Not Unique","15"
"Designer Sets","Sea Machines","2004","Not Unique","82"
"Designer Sets","Sea Riders","2003","Not Unique","172"
"Designer Sets","Ship Promotional (Duracell)","2004","Not Unique","22"
"Designer Sets","Sky Squad","2003","Not Unique","64"
"Designer Sets","Small Red Helicopter (Polybag)","2003","Not Unique","20"
"Designer Sets","Speed Wings","2004","Not Unique","79"
"Designer Sets","Speed Wings - ANA version","2004","Not Unique","78"
"Designer Sets","Titan XP","2004","Not Unique","179"
"Designer Sets","Ultimate Wheels (Kohl's Exclusive)","2003","Not Unique","201"
"Designer Sets","Wild Collection","2003","Not Unique","181"
"Designer Sets","Wild Hunters","2005","Not Unique","178"
"Designer Sets","Yellow Truck (Box version) - ANA Promotion","2003","Not Unique","21"
"Designer Sets","Yellow Truck (Polybag)","2003","Not Unique","23"
"DFB Minifigures","André Schürrle (9)","2016","Not Unique","4"
"DFB Minifigures","André Schürrle (9)","2016","Unique","2"
"DFB Minifigures","Bastian Schweinsteiger (7)","2016","Not Unique","4"
"DFB Minifigures","Bastian Schweinsteiger (7)","2016","Unique","2"
"DFB Minifigures","Benedikt Höwedes (4)","2016","Not Unique","4"
"DFB Minifigures","Benedikt Höwedes (4)","2016","Unique","2"
"DFB Minifigures","Christoph Kramer (20)","2016","Not Unique","4"
"DFB Minifigures","Christoph Kramer (20)","2016","Unique","2"
"DFB Minifigures","Jérôme Boateng (17)","2016","Not Unique","3"
"DFB Minifigures","Jérôme Boateng (17)","2016","Unique","3"
"DFB Minifigures","Joachim Löw","2016","Not Unique","3"
"DFB Minifigures","Joachim Löw","2016","Unique","3"
"DFB Minifigures","Manuel Neuer (1)","2016","Not Unique","3"
"DFB Minifigures","Manuel Neuer (1)","2016","Unique","3"
"DFB Minifigures","Marco Reus (21)","2016","Not Unique","4"
"DFB Minifigures","Marco Reus (21)","2016","Unique","2"
"DFB Minifigures","Mario Götze (19)","2016","Not Unique","4"
"DFB Minifigures","Mario Götze (19)","2016","Unique","2"
"DFB Minifigures","Mats Hummels (5)","2016","Not Unique","4"
"DFB Minifigures","Mats Hummels (5)","2016","Unique","2"
"DFB Minifigures","Max Kruse (23)","2016","Not Unique","4"
"DFB Minifigures","Max Kruse (23)","2016","Unique","2"
"DFB Minifigures","Mesut Özil (8)","2016","Not Unique","4"
"DFB Minifigures","Mesut Özil (8)","2016","Unique","2"
"DFB Minifigures","Sami Khedira (6)","2016","Not Unique","4"
"DFB Minifigures","Sami Khedira (6)","2016","Unique","2"
"DFB Minifigures","Shkodran Mustafi (2)","2016","Not Unique","4"
"DFB Minifigures","Shkodran Mustafi (2)","2016","Unique","2"
"DFB Minifigures","Thomas Müller (13)","2016","Not Unique","4"
"DFB Minifigures","Thomas Müller (13)","2016","Unique","2"
"DFB Minifigures","Toni Kroos (18)","2016","Not Unique","4"
"DFB Minifigures","Toni Kroos (18)","2016","Unique","2"
"Dimensions","A-Team Fun Pack","2016","Not Unique","35"
"Dimensions","A-Team Fun Pack","2016","Unique","6"
"Dimensions","Adventure Time Level Pack","2016","Not Unique","48"
"Dimensions","Adventure Time Level Pack","2016","Unique","6"
"Dimensions","Adventure Time Team Pack","2016","Not Unique","47"
"Dimensions","Adventure Time Team Pack","2016","Unique","7"
"Dimensions","Aquaman and Aqua Watercraft","2016","Not Unique","26"
"Dimensions","Aquaman and Aqua Watercraft","2016","Unique","1"
"Dimensions","Bane™ Fun Pack","2016","Not Unique","39"
"Dimensions","Bane™ Fun Pack","2016","Unique","1"
"Dimensions","Cyberman Fun Pack","2016","Not Unique","24"
"Dimensions","Cyberman Fun Pack","2016","Unique","4"
"Dimensions","DC Comics Team Pack","2016","Not Unique","68"
"Dimensions","DC Comics Team Pack","2016","Unique","3"
"Dimensions","Dimensions Starter Pack","2015","Not Unique","118"
"Dimensions","Doc Brown Fun Pack","2016","Not Unique","42"
"Dimensions","Doc Brown Fun Pack","2016","Unique","2"
"Dimensions","E.T. the Extra-Terrestrial™ Fun Pack","2016","Not Unique","39"
"Dimensions","E.T. the Extra-Terrestrial™ Fun Pack","2016","Unique","4"
"Dimensions","Fantastic Beasts and Where to Find Them™ Story Pack","2016","Not Unique","89"
"Dimensions","Fantastic Beasts and Where to Find Them™ Story Pack","2016","Unique","5"
"Dimensions","Ghostbusters Story Pack","2016","Not Unique","122"
"Dimensions","Ghostbusters Story Pack","2016","Unique","3"
"Dimensions","Green Arrow","2016","Not Unique","6"
"Dimensions","Green Arrow","2016","Unique","1"
"Dimensions","Gremlins™ Team Pack","2016","Not Unique","57"
"Dimensions","Gremlins™ Team Pack","2016","Unique","7"
"Dimensions","Harry Potter Team Pack","2016","Not Unique","63"
"Dimensions","Harry Potter Team Pack","2016","Unique","3"
"Dimensions","LEGO® DIMENSIONS® Krusty Fun Pack","2015","Not Unique","26"
"Dimensions","LEGO® DIMENSIONS® Krusty Fun Pack","2015","Unique","1"
"Dimensions","LEGO® DIMENSIONS® NINJAGO™ Team Pack","2015","Not Unique","54"
"Dimensions","LEGO® DIMENSIONS® NINJAGO™ Team Pack","2015","Unique","2"
"Dimensions","LEGO® DIMENSIONS™ Back to the Future™ Level Pack","2015","Not Unique","51"
"Dimensions","LEGO® DIMENSIONS™ Back to the Future™ Level Pack","2015","Unique","2"
"Dimensions","LEGO® DIMENSIONS™ Bad Cop Fun Pack","2015","Not Unique","40"
"Dimensions","LEGO® DIMENSIONS™ Bad Cop Fun Pack","2015","Unique","1"
"Dimensions","LEGO® DIMENSIONS™ Bart Fun Pack","2015","Not Unique","23"
"Dimensions","LEGO® DIMENSIONS™ Bart Fun Pack","2015","Unique","2"
